threads,cs,asm
1,7967246,2094033
2,3977480,1066397
3,2657032,719857
4,2026802,557925
5,1619126,468453
6,1338496,382723
7,2083495,615324
8,1940191,547817
10,1623852,458461
12,1390019,418740
16,1526086,419582
20,1625094,437028
24,1362816,432628
